"","A1","A2","A3","A4","A5","A6","A7","class"
"1",7,4,48,5,54,35,44,0
"2",49,29,48,5,56,24,35,0
"3",56,4,48,5,49,37,46,0
"4",59,49,48,5,52,45,36,0
"5",23,32,48,5,55,25,35,0
"6",67,39,48,5,36,38,46,0
"7",29,28,48,5,44,23,34,0
"8",21,34,48,5,51,28,39,0
"9",2,44,48,5,46,51,57,0
"10",42,4,48,5,56,18,3,0
"11",42,24,48,5,57,27,37,0
"12",25,48,48,5,44,17,29,0
"13",39,32,48,5,46,24,35,0
"14",51,5,48,5,46,32,35,0
"15",22,43,48,5,48,16,28,0
"16",25,4,48,5,46,44,52,0
"17",34,45,48,5,38,24,35,0
"18",44,27,48,5,55,52,58,0
"19",23,4,48,5,39,28,38,0
"20",41,57,48,5,39,21,32,0
"21",4,45,48,5,38,22,0,0
"22",31,23,48,5,73,5,14,0
"23",51,54,48,5,41,34,43,0
"24",3,16,48,5,56,11,23,0
"25",36,39,48,5,48,22,23,0
"26",29,37,48,5,48,44,52,0
"27",25,4,48,5,47,33,42,0
"28",21,51,48,5,5,32,41,0
"29",43,37,48,5,53,35,44,0
"30",43,39,48,5,47,31,41,0
"31",53,38,48,5,44,26,36,0
"32",34,33,48,5,38,35,44,0
"33",56,51,48,5,34,37,46,0
"34",4,29,48,5,42,35,44,0
"35",24,35,48,5,31,19,31,0
"36",36,54,48,5,41,38,46,0
"37",29,52,48,5,42,29,39,0
"38",65,47,48,5,59,3,4,0
"39",32,42,48,5,35,28,38,0
"40",38,46,48,5,48,22,29,0
"41",33,45,48,5,52,32,41,0
"42",3,37,48,5,59,41,49,0
"43",4,5,48,5,45,39,47,0
"44",28,38,48,5,5,33,42,0
"45",61,45,48,5,48,35,41,0
"46",17,38,48,5,45,42,5,0
"47",44,35,48,5,55,55,61,0
"48",43,4,48,5,39,28,39,0
"49",42,35,48,5,58,15,27,0
"50",23,33,48,5,43,33,43,0
"51",37,52,48,5,42,42,36,0
"52",29,3,48,5,45,3,17,0
"53",22,36,48,5,35,39,47,0
"54",23,58,48,5,37,53,59,0
"55",47,47,48,5,22,16,26,0
"56",54,47,48,5,28,33,42,0
"57",51,37,48,5,35,36,45,0
"58",4,35,48,5,45,33,42,0
"59",44,34,48,5,3,33,43,0
"60",42,38,48,5,54,34,43,0
"61",44,56,48,5,5,46,54,0
"62",52,36,48,5,41,28,38,0
"63",36,41,48,5,48,47,54,0
"64",18,3,48,5,46,24,35,0
"65",47,29,48,5,51,33,43,0
"66",24,43,48,5,54,52,59,0
"67",25,37,48,5,41,33,42,0
"68",52,57,48,5,42,47,54,0
"69",25,37,48,5,43,26,36,0
"70",35,48,48,5,56,4,48,0
"71",26,26,48,5,34,25,35,0
"72",44,51,48,5,47,26,36,0
"73",37,5,48,5,42,36,45,0
"74",44,42,48,5,42,25,2,0
"75",24,43,48,5,37,28,38,0
"76",42,3,48,5,48,26,36,0
"77",48,42,48,5,45,25,35,0
"78",41,48,48,5,51,44,51,0
"79",44,28,48,5,43,27,37,0
"80",29,41,48,5,48,38,46,0
"81",34,28,48,5,41,35,44,0
"82",41,43,48,5,45,31,41,0
"83",29,47,48,5,41,23,34,0
"84",34,55,48,5,58,31,41,0
"85",36,56,48,5,43,45,53,0
"86",4,46,48,5,52,49,56,0
"87",5,49,48,5,49,46,53,0
"88",52,44,48,5,37,36,42,0
"89",5,51,48,5,27,23,34,0
"90",53,42,48,5,16,29,39,0
"91",34,46,48,5,52,35,44,0
"92",4,42,48,5,37,27,27,0
"93",41,43,48,5,5,24,25,0
"94",3,45,48,5,36,21,32,0
"95",31,47,48,5,29,28,39,0
"96",64,76,48,5,45,35,38,0
"97",35,37,48,5,3,34,43,0
"98",57,54,48,5,37,28,33,0
"99",65,55,48,5,34,37,28,0
"100",51,46,48,5,58,31,41,0
"101",38,4,48,5,63,25,35,0
"102",24,57,48,5,63,34,43,0
"103",38,26,48,5,54,16,28,0
"104",33,47,48,5,53,18,29,0
"105",24,34,48,5,38,3,4,0
"106",26,5,48,5,44,32,41,0
"107",44,49,48,5,39,38,4,0
"108",43,32,48,5,33,45,52,0
"109",49,43,48,5,49,3,4,0
"110",47,28,48,5,56,2,25,0
"111",32,33,48,5,6,6,2,0
"112",34,35,48,5,51,49,56,0
"113",35,34,48,5,46,3,27,0
"114",38,3,48,5,43,29,39,0
"115",38,44,48,5,43,2,31,0
"116",41,51,48,5,58,2,31,0
"117",34,42,48,5,41,34,43,0
"118",51,49,48,5,53,14,26,0
"119",25,51,48,5,37,42,5,0
"120",29,28,48,5,5,42,5,0
"121",25,26,48,5,39,32,42,0
"122",24,41,48,5,49,23,34,0
"123",17,39,48,5,53,3,39,0
"124",4,31,48,5,41,29,39,0
"125",61,36,48,5,49,35,44,0
"126",34,51,48,5,44,37,46,0
"127",28,33,48,5,45,22,33,0
"128",4,46,48,5,42,35,44,0
"129",23,34,48,5,43,26,37,0
"130",37,44,48,5,42,39,47,0
"131",0,38,48,5,42,48,55,0
"132",39,31,48,5,38,34,43,0
"133",3,44,48,5,49,22,33,0
"134",27,3,48,5,71,28,39,0
"135",17,52,48,5,49,37,46,0
"136",36,42,48,5,53,32,41,0
"137",3,37,48,5,43,18,3,0
"138",26,4,48,5,36,26,37,0
"139",4,41,48,5,55,22,33,0
"140",22,34,48,5,42,29,39,0
"141",44,35,48,5,44,52,59,0
"142",27,42,48,5,37,38,43,0
"143",16,43,48,5,54,27,37,0
"144",6,61,48,5,49,92,37,1
"145",44,52,48,5,43,47,54,1
"146",63,47,48,5,51,82,84,1
"147",23,48,48,5,59,88,89,1
"148",34,49,48,5,58,85,8,1
"149",43,4,48,5,58,75,78,1
"150",46,61,48,5,48,86,87,1
"151",27,35,48,5,51,77,79,1
"152",52,39,48,5,65,71,73,1
"153",29,47,48,5,71,65,69,1
"154",55,47,48,5,57,78,8,1
"155",12,67,48,5,74,58,63,1
"156",4,5,48,5,65,82,84,1
"157",73,36,48,5,53,91,92,1
"158",84,44,48,5,48,71,74,1
"159",48,45,48,5,6,78,8,1
"160",54,49,48,5,4,87,88,1
"161",48,41,48,5,51,9,88,1
"162",5,66,48,5,31,92,92,1
"163",72,46,48,5,51,66,7,1
"164",47,55,48,5,58,71,75,1
"165",33,56,48,5,33,78,8,1
"166",64,58,48,5,48,78,73,1
"167",54,57,48,5,56,81,83,1
"168",47,59,48,5,52,76,79,1
"169",63,5,48,5,59,85,86,1
"170",49,42,48,5,53,79,81,1
"171",31,5,48,5,57,84,85,1
"172",74,44,48,5,55,88,89,1
"173",33,45,48,5,45,88,89,1
"174",45,4,48,5,61,74,77,1
"175",71,4,48,5,71,7,74,1
"176",5,37,48,5,66,64,69,1
"177",66,53,48,5,59,66,66,1
"178",6,61,48,5,54,67,71,1
"179",83,37,48,5,61,71,74,1
"180",34,51,48,5,67,9,9,1
"181",63,54,48,5,65,79,81,1
"182",7,4,48,5,56,86,83,1
"183",6,5,1,5,54,77,8,1
"184",16,51,48,5,33,39,48,1
"185",74,7,48,5,66,65,69,1
"186",2,46,48,5,57,78,81,1
"187",89,55,48,5,51,72,76,1
"188",7,46,48,5,56,78,73,1
"189",12,43,48,5,63,7,74,1
"190",61,52,48,5,54,67,52,1
"191",33,37,48,5,46,65,69,1
"192",63,65,48,5,66,67,71,1
"193",41,51,48,5,53,75,78,1
"194",34,67,48,5,52,76,79,1
"195",58,34,48,5,56,87,81,1
"196",59,56,48,5,55,8,82,1
"197",51,4,48,5,57,62,67,1
"198",5,57,48,5,71,61,66,1
"199",6,46,48,5,45,81,83,1
"200",37,47,48,5,39,76,79,1
"201",58,55,48,5,57,7,74,1
"202",36,47,48,5,51,69,72,1
"203",39,41,48,5,52,72,75,1
"204",35,51,48,5,61,71,74,1
"205",31,44,48,5,5,79,82,1
"206",61,66,48,5,46,87,88,1
"207",48,49,48,5,52,77,71,1
"208",11,5,48,5,58,72,68,1
"209",31,36,48,5,58,94,94,1
"210",68,51,48,5,71,75,78,1
"211",69,39,48,5,57,76,79,1
"212",52,54,48,5,62,76,79,1
"213",46,59,48,5,36,76,23,1
"214",36,45,48,5,38,79,17,1
"215",0,51,48,5,35,67,44,1
"216",1,49,48,5,41,67,21,1
"217",3,51,48,5,42,61,34,1
"218",61,47,48,5,0,8,32,1
"219",63,75,48,5,64,73,66,1
"220",71,52,48,5,64,1,99,1
"221",85,53,48,5,53,52,35,2
"222",63,49,48,5,54,76,79,2
"223",75,55,1,1,4,47,3,3
"224",7,39,1,5,51,82,84,3
"225",72,42,48,5,65,77,79,4
"226",79,41,48,5,66,81,83,4
"227",83,48,48,5,65,76,79,4
"228",69,43,48,5,59,74,77,4
"229",79,36,48,5,46,82,7,4
"230",78,33,48,5,57,77,79,4
"231",75,37,48,5,64,7,74,4
"232",59,29,48,5,64,75,77,4
"233",67,37,48,5,54,64,68,4
"234",66,48,48,5,54,7,74,4
"235",64,46,48,5,48,73,76,4
"236",76,71,48,5,5,71,75,4
"237",84,49,48,5,55,78,74,4
"238",77,55,48,5,51,78,74,4
"239",81,44,48,5,42,67,68,4
"240",58,6,48,5,59,73,76,4
"241",63,42,48,5,48,77,8,4
"242",62,42,48,5,58,79,81,4
"243",86,39,48,5,59,89,9,4
"244",81,53,48,5,57,87,88,4
"245",87,49,48,5,61,76,79,4
"246",47,46,48,5,62,74,77,4
"247",76,41,48,5,5,59,62,4
"248",7,53,48,5,7,86,87,4
"249",64,45,48,5,67,61,66,4
"250",81,52,48,5,57,78,8,4
"251",73,26,48,5,57,75,78,4
"252",49,61,1,5,56,71,74,4
"253",88,42,48,5,52,73,75,4
"254",84,54,48,5,75,92,7,4
"255",63,51,48,5,64,72,76,4
"256",86,55,48,5,63,81,83,4
"257",79,54,48,5,5,66,68,4
"258",57,38,48,5,6,49,33,4
"259",78,44,48,5,45,73,68,4
"260",78,68,48,5,83,4,29,5
"261",63,69,48,5,65,41,28,5
"262",67,88,48,5,73,5,25,5
"263",61,75,48,5,51,33,33,5
"264",67,84,48,5,74,54,37,5
"265",74,9,48,5,57,53,29,5
"266",73,84,48,5,86,58,29,5
"267",75,76,48,5,83,57,3,5
"268",77,57,48,5,88,53,2,5
"269",74,78,48,5,75,54,15,5
"270",68,76,48,5,84,45,27,5
"271",56,68,48,5,77,36,45,5
"272",65,51,48,5,66,54,33,5
"273",52,81,48,5,72,38,38,5
"274",64,57,48,5,7,33,26,5
"275",6,76,1,5,77,59,52,5
"276",69,59,48,5,77,39,21,5
"277",63,49,48,5,79,45,28,5
"278",71,71,48,5,68,43,36,5
"279",68,63,48,5,73,4,3,5
"280",77,57,1,5,37,54,1,6
"281",66,49,1,5,54,56,36,6
"282",71,46,1,5,52,59,3,6
"283",67,55,1,5,66,58,16,6
"284",68,49,1,5,62,55,28,6
"285",74,49,48,5,42,54,36,7
"286",7,61,48,5,56,52,43,7
"287",66,86,48,5,34,41,36,7
"288",73,78,48,5,58,51,31,7
"289",65,57,48,5,47,47,51,7
"290",72,86,48,5,17,55,21,7
"291",67,7,48,5,46,45,33,7
"292",67,81,48,5,54,49,23,7
"293",67,61,48,5,51,37,38,7
"294",63,1,48,5,35,51,49,7
"295",57,59,48,5,39,47,33,7
"296",71,71,48,5,4,54,39,7
"297",66,74,48,5,31,38,43,7
"298",67,81,48,5,25,42,25,7
"299",64,72,48,5,49,42,19,7
"300",68,82,48,5,38,65,56,7
"301",32,39,48,5,53,28,38,7
"302",7,64,48,5,47,51,47,7
"303",63,57,48,5,49,7,2,7
"304",74,82,48,5,49,49,41,7
"305",63,86,48,5,39,47,34,7
"306",63,83,48,5,4,39,19,7
"307",63,71,48,5,6,4,39,7
"308",71,86,48,5,4,54,32,7
"309",68,78,48,5,43,44,42,7
"310",64,84,48,5,37,45,4,7
"311",74,47,48,5,5,57,42,7
"312",75,84,48,5,35,52,33,7
"313",63,65,48,5,39,44,35,7
"314",69,67,48,5,3,39,24,7
"315",7,71,48,5,42,84,85,7
"316",69,8,48,5,46,57,26,7
"317",64,66,48,5,41,39,2,7
"318",63,8,48,5,46,31,29,7
"319",66,71,48,5,41,5,35,7
"320",69,59,48,5,46,44,52,7
"321",68,67,48,5,49,4,34,7
"322",64,78,48,5,5,36,38,7
"323",62,78,48,5,47,49,54,7
"324",76,73,48,5,44,39,39,7
"325",64,81,48,5,37,39,44,7
"326",29,39,48,5,52,4,48,7
"327",62,83,48,5,46,36,4,7
"328",56,54,48,5,43,37,3,7
"329",69,66,48,5,41,5,25,7
"330",69,65,48,5,63,48,41,7
"331",43,59,48,5,52,49,56,7
"332",74,56,48,5,47,68,3,7
"333",71,57,48,5,48,35,32,7
"334",61,6,48,5,44,39,38,7
"335",59,61,48,5,42,42,37,7
"336",74,74,48,5,31,53,52,7
